id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
0,"cannot (be allowed to , prohibited)",modal verb,a1,nan,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,anumati illa / niṣiddha
1,circulation (publication count),noun,c1,nan,ಪ್ರಸಾರ / ವಿತರಣೆ,prasāra / vitaraṇe
2,circumstance,noun,b2,nan,ಪರಿಸ್ಥಿತಿ / ಸಂದರ್ಭ / ಸ್ಥಿತಿ,paristhiti / saṁdarbha / sthiti
3,to cite,verb,b2,transitive,ಉಲ್ಲೇಖಿಸು,ullēkhisu
4,"citizen (of a city, town, municipal focus)",noun,b2,nan,ಪೌರ / ನಗರವಾಸಿ / ನಾಗರಿಕ,paura / nagaravāsi / nāgarika
5,citizenship,noun,c1,nan,ಪೌರತ್ವ / ನಾಗರಿಕತ್ವ,pauratva / nāgarikatva
6,city,noun,a1,nan,ನಗರ / ಪಟ್ಟಣ,nagara / paṭṭaṇa
7,civic (relating to citizen duty),adjective,c1,nan,ಪೌರ / ನಾಗರಿಕ,paura / nāgarika
8,civic (relating to city administration),adjective,c1,nan,ಪೌರ / ನಗರಪಾಲಿಕಾ,paura / nagarapālikā
9,civil (polite behavior),adjective,b2,nan,ಸಭ್ಯ / ವಿನಯಶೀಲ,sabhya / vinayaśīla
10,"civil (relating to citizens, non-military)",adjective,b2,nan,ನಾಗರಿಕ,nāgarika
11,civil (legal context),adjective,b2,nan,ದೀವಾಣಿ / ಸಿವಿಲ್,dīvāṇi / sivil
12,civilian (person),adjective,c1,nan,ನಾಗರಿಕ,nāgarika
13,civilian,noun,c1,nan,ನಾಗರಿಕ,nāgarika
14,civilization,noun,b2,nan,ನಾಗರಿಕತೆ / ಸಂಸ್ಕೃತಿ,nāgarikate / saṁskr̥ti
15,claim (formal demand),noun,b1,nan,ಹಕ್ಕು / ಬೇಡಿಕೆ / ದಾವೆ,hakku / bēḍike / dāve
16,insurance claim,noun,b1,nan,ವಿಮಾ ಹಕ್ಕು / ಕ್ಲೈಮ್,vimā hakku / klaim
17,claim (assertion of truth),noun,b1,nan,ಪ್ರತಿಪಾದನೆ / ಹೇಳಿಕೆ / ವಾದ,pratipādane / hēḷike / vāda
18,"to claim (right, possession)",verb,b1,transitive,ಹಕ್ಕು ಸಾಧಿಸು / ಹಕ್ಕು ಮಂಡಿಸು,hakku sādhisu / hakku maṁḍisu
19,to claim (assert a fact),verb,b1,transitive,ಪ್ರತಿಪಾದಿಸು / ಹೇಳು / ವಾದಿಸು,pratipādisu / hēḷu / vādisu
20,to clarify,verb,b2,transitive,ಸ್ಪಷ್ಟಪಡಿಸು / ವಿವರಿಸು,spaṣṭapaḍisu / vivarisu
21,clarity,noun,c1,nan,ಸ್ಪಷ್ಟತೆ / ನಿಖರತೆ,spaṣṭate / nikharate
22,clash (of colors or styles),noun,c1,nan,ಅಸಂಗತತೆ / ಹೊಂದಾಣಿಕೆಯ ಕೊರತೆ,asaṁgatate / hoṁdāṇikeya korate
23,clash (scheduling conflict),noun,c1,nan,ಘರ್ಷಣೆ / ಸಮಯದ ಸಂಘರ್ಷ,gharṣaṇe / samayada saṁgharṣa
24,"class (lesson, session)",noun,a1,nan,ತರಗತಿ / ಪಾಠ / ಅವಧಿ,taragati / pāṭha / avadhi
25,class (grade level),noun,a1,nan,ತರಗತಿ / ವರ್ಗ,taragati / varga
26,"classic (standard-setting, high quality)",adjective,b2,nan,ಶ್ರೇಷ್ಠ / ಉತ್ಕೃಷ್ಟ / ಮಾದರಿ,śrēṣṭha / utkr̥ṣṭa / mādari
27,classic (relating to antiquity or formal study),adjective,b2,nan,ಶಾಸ್ತ್ರೀಯ / ಪ್ರಾಚೀನ,śāstrīya / prācīna
