english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,ಇಲ್ಲ,illa,,a2
"(It) is not (identity, copula negation)",auxiliary verb,ಅಲ್ಲ,alla,,a2
a (meaning one),indefinite article,ಒಂದು,oṁdu,,a2
a few,determiner,ಕೆಲವು / ಒಂದೆರಡು,kelavu / oṁderaḍu,,a2
a few (some),adjective,ಕೆಲವು / ಒಂದೆರಡು,kelavu / oṁderaḍu,,a2
a lot (a large amount/quantity),determiner,ಹೆಚ್ಚಿನ / ಬಹಳಷ್ಟು / ಅಧಿಕ,heccina / bahaḷaṣṭu / adhika,,a2
"a lot (adverbial degree, very much)",adverb,ತುಂಬಾ / ಬಹಳ / ಹೆಚ್ಚು,tuṁbā / bahaḷa / heccu,,a2
"a lot (quantifier, much/many)",adverb,ತುಂಬಾ / ಬಹಳ,tuṁbā / bahaḷa,,a2
about (approximately),preposition,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a2
about (concerning a topic),preposition,ಬಗ್ಗೆ / ಕುರಿತು / ವಿಷಯವಾಗಿ,bagge / kuritu / viṣayavāgi,,a2
about (on the verge of doing),preposition,ಮಾಡಲು ಹೊರಟು / ಮಾಡಲು ಸಿದ್ಧವಾಗಿ,māḍalu horaṭu / māḍalu siddhavāgi,,a2
about to (do X),preposition,ಹೊರಟು / ಸಿದ್ಧವಾಗಿ,horaṭu / siddhavāgi,,a2
above,preposition,ಮೇಲೆ / ಮೇಲ್ಭಾಗದಲ್ಲಿ,mēle / mēlbhāgadalli,,a2
accounting,noun,ಲೆಕ್ಕಪತ್ರ / ಅಕೌಂಟಿಂಗ್ / ಲೆಕ್ಕಶಾಸ್ತ್ರ,lekkapatra / akauṁṭiṁg / lekkaśāstra,,a2
across (moving from one side to the other),preposition,ದಾಟಿ,dāṭi,,a2
across (on the opposite side),preposition,ಆಚೆ ಕಡೆ,āce kaḍe,,a2
across (to the opposite side),adverb,ಆಚೆ ಕಡೆಗೆ,āce kaḍege,,a2
action (a specific deed or act),noun,ಕೃತ್ಯ,kr̥tya,,a2
action (general activity or step),noun,ಕಾರ್ಯ / ಚಟುವಟಿಕೆ,kārya / caṭuvaṭike,,a2
activity (general state of action),noun,ಚಟುವಟಿಕೆ,caṭuvaṭike,,a2
activity (task or event),noun,ಚಟುವಟಿಕೆ,caṭuvaṭike,,a2
actress,noun,ನಟಿ,naṭi,,a2
"adult (person, polite reference)",noun,ದೊಡ್ಡವರು / ವಯಸ್ಕರು / ಪ್ರೌಢರು,doḍḍavaru / vayaskaru / prauḍharu,,a2
advice (authoritative guidance),noun,ಮಾರ್ಗದರ್ಶನ / ಸೂಚನೆ,mārgadarśana / sūcane,,a2
"advice (guidance, counsel)",noun,ಸಲಹೆ / ಮಾರ್ಗದರ್ಶನ,salahe / mārgadarśana,,a2
