id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
0,"(It) is not (existence, location negation)",auxiliary verb,a1,nan,ഇല്ല,illa
1,"(It) is not (identity, copula negation)",auxiliary verb,a1,nan,അല്ല,alla
2,a (meaning one),indefinite article,a1,nan,ഒരു,oru
3,a few,determiner,a1,nan,കുറച്ച് / അല്പം,kuṟacc / alpaṁ
4,a few (some),adjective,a1,nan,ചില / കുറച്ച്,cila / kuṟacc
5,a lot (a large amount/quantity),determiner,a1,nan,ഒരുപാട് / ധാരാളം / ഏറെ,orupāṭ / dhārāḷaṁ / ēṟe
6,"a lot (adverbial degree, very much)",adverb,a1,nan,ഒരുപാട് / വളരെ / ഏറെ,orupāṭ / vaḷare / ēṟe
7,"a lot (quantifier, much/many)",adverb,a1,nan,ധാരാളം / ഒരുപാട് / ഏറെ,dhārāḷaṁ / orupāṭ / ēṟe
8,about (approximately),preposition,a1,nan,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ
9,about (concerning a topic),preposition,a1,nan,കുറിച്ച് / സംബന്ധിച്ച്,kuṟicc / saṁbandhicc
10,about (on the verge of doing),preposition,a1,nan,ആകാൻ പോകുന്നു / തുടങ്ങാറായി,ākān pōkunnu / tuṭaṅṅāṟāyi
11,about to (do X),preposition,a1,nan,ചെയ്യാൻ പോകുന്നു / തുടങ്ങാറായി,ceyyān pōkunnu / tuṭaṅṅāṟāyi
12,above,preposition,a1,nan,മുകളിൽ / മീതെ,mukaḷil / mīte
13,accounting,noun,a1,nan,കണക്കെഴുത്ത് / അക്കൗണ്ടിംഗ്,kaṇakkeḻutt / akkauṇṭiṁg
14,across (moving from one side to the other),preposition,a1,nan,കുറുകെ / അപ്പുറം,kuṟuke / appuṟaṁ
15,across (on the opposite side),preposition,a1,nan,അപ്പുറത്ത് / മറുഭാഗത്ത്,appuṟatt / maṟubhāgatt
16,across (to the opposite side),adverb,a1,nan,അപ്പുറത്തേക്ക് / മറുകരയിലേക്ക്,appuṟattēkk / maṟukarayilēkk
17,action (a specific deed or act),noun,a1,nan,പ്രവൃത്തി / കർമ്മം / നടപടി,pravr̥tti / karmmaṁ / naṭapaṭi
18,action (general activity or step),noun,a1,nan,പ്രവർത്തനം / നടപടി,pravarttanaṁ / naṭapaṭi
19,activity (general state of action),noun,a1,nan,പ്രവർത്തനം,pravarttanaṁ
20,activity (task or event),noun,a1,nan,പരിപാടി / പ്രവർത്തനം,paripāṭi / pravarttanaṁ
21,actress,noun,a1,nan,നടി / അഭിനേത്രി,naṭi / abhinētri
22,"adult (person, polite reference)",noun,a1,nan,മുതിർന്നയാൾ / പ്രായപൂർത്തിയായയാൾ,mutirnnayāḷ / prāyapūrttiyāyayāḷ
23,advice (authoritative guidance),noun,a1,nan,നിർദ്ദേശം / ഉപദേശം,nirddēśaṁ / upadēśaṁ
24,"advice (guidance, counsel)",noun,a1,nan,ഉപദേശം / നിർദ്ദേശം / അഭിപ്രായം,upadēśaṁ / nirddēśaṁ / abhiprāyaṁ
25,"afraid (apologetic, reluctant)",adjective,a1,N/A,മടിയുള്ള / വൈമനസ്യമുള്ള,maṭiyuḷḷa / vaimanasyamuḷḷa
26,after (following time or event),preposition,a1,N/A,ശേഷം / കഴിഞ്ഞിട്ട്,śēṣaṁ / kaḻiññiṭṭ
27,"after (upon completion, sequence)",preposition,a1,N/A,ശേഷം / കഴിഞ്ഞാൽ / പുറകെ,śēṣaṁ / kaḻiññāl / puṟake
28,afternoon,noun,a1,N/A,ഉച്ചതിരിഞ്ഞ് / അപരാഹ്നം,uccatiriññ / aparāhnaṁ
29,again (one more time),adverb,a1,N/A,വീണ്ടും / ഒരിക്കൽ കൂടി / പിന്നെയും,vīṇṭuṁ / orikkal kūṭi / pinneyuṁ
