id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
0,cafe,noun,a1,N/A,ಕ್ಯಾಫೆ / ಕಾಫಿ ಅಂಗಡಿ / ಕಾಫಿ ಮನೆ,kyāphe / kāphi aṁgaḍi / kāphi mane
1,cake,noun,a1,N/A,ಕೇಕ್,kēk
2,to calculate (to estimate or gauge),verb,b2,transitive,ಲೆಕ್ಕ ಹಾಕು / ಅಂದಾಜು ಮಾಡು / ಗಣಿಸು,lekka hāku / aṁdāju māḍu / gaṇisu
3,to calculate (mathematical),verb,b1,transitive,ಲೆಕ್ಕಾಚಾರ ಮಾಡು / ಲೆಕ್ಕಿಸು / ಗಣಿಸು,lekkācāra māḍu / lekkisu / gaṇisu
4,calculation (strategic planning),noun,c1,N/A,ಲೆಕ್ಕಾಚಾರ / ಯೋಜನೆ / ತಂತ್ರಗಾರಿಕೆ,lekkācāra / yōjane / taṁtragārike
5,calculation (mathematical),noun,b1,N/A,ಲೆಕ್ಕಾಚಾರ / ಗಣನೆ / ಲೆಕ್ಕ,lekkācāra / gaṇane / lekka
6,call (telephone),noun,a1,N/A,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,phōn kare / kare / dūravāṇi kare
7,"call (shout, cry)",noun,a1,N/A,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,kūgu / kare / āhvāna
8,to call (by telephone),verb,a1,transitive,ಫೋನ್ ಮಾಡು / ಕರೆ ಮಾಡು / ದೂರವಾಣಿ ಮಾಡು,phōn māḍu / kare māḍu / dūravāṇi māḍu
9,to call (to name or summon),verb,a1,transitive,ಕರೆಯು / ಕೂಗು / ಹೆಸರಿಸು / ಆಹ್ವಾನಿಸು,kareyu / kūgu / hesarisu / āhvānisu
10,"calm (of a person, composed)",adjective,b1,N/A,ಶಾಂತ / ಸಂಯಮದ / ಸಮಾಧಾನದ,śāṁta / saṁyamada / samādhānada
11,"calm (weather, sea, tranquil)",adjective,b1,N/A,ಶಾಂತ / ಪ್ರಶಾಂತ / ನಿಶ್ಶಬ್ದ,śāṁta / praśāṁta / niśśabda
12,calm,noun,b1,N/A,ಶಾಂತಿ / ನೆಮ್ಮದಿ / ಸಮಾಧಾನ / ಪ್ರಶಾಂತತೆ,śāṁti / nemmadi / samādhāna / praśāṁtate
13,"to calm (someone, something)",verb,b1,transitive,ಶಾಂತಗೊಳಿಸು / ಸಮಾಧಾನ ಮಾಡು / ಸಮಾಧಾನ ಪಡಿಸು,śāṁtagoḷisu / samādhāna māḍu / samādhāna paḍisu
14,"to calm down (oneself, a situation)",verb,b1,intransitive,ಶಾಂತವಾಗು / ಸಮಾಧಾನಪಡು / ನೆಮ್ಮದಿಪಡು,śāṁtavāgu / samādhānapaḍu / nemmadipaḍu
15,camera,noun,a1,N/A,ಕ್ಯಾಮೆರಾ,kyāmerā
16,camp,noun,a2,N/A,ಶಿಬಿರ / ಕ್ಯಾಂಪ್,śibira / kyāṁp
17,to camp,verb,a2,intransitive,ಕ್ಯಾಂಪ್ ಮಾಡು / ಶಿಬಿರ ಹಾಕು / ಶಿಬಿರ ಮಾಡು,kyāṁp māḍu / śibira hāku / śibira māḍu
18,campaign (military),noun,b1,N/A,ದಂಡಯಾತ್ರೆ / ಯುದ್ಧಾಭಿಯಾನ,daṁḍayātre / yuddhābhiyāna
19,"campaign (political, advertising)",noun,b1,N/A,ಪ್ರಚಾರ / ಅಭಿಯಾನ,pracāra / abhiyāna
