english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,ಇಲ್ಲ,illa,,a1
"(It) is not (identity, copula negation)",auxiliary verb,ಅಲ್ಲ,alla,,a1
a (meaning one),indefinite article,ಒಂದು,oṁdu,,a1
a few,determiner,ಕೆಲವು / ಒಂದೆರಡು,kelavu / oṁderaḍu,,a1
a few (some),adjective,ಕೆಲವು / ಒಂದೆರಡು,kelavu / oṁderaḍu,,a1
a lot (a large amount/quantity),determiner,ಹೆಚ್ಚಿನ / ಬಹಳಷ್ಟು / ಅಧಿಕ,heccina / bahaḷaṣṭu / adhika,,a1
"a lot (adverbial degree, very much)",adverb,ತುಂಬಾ / ಬಹಳ / ಹೆಚ್ಚು,tuṁbā / bahaḷa / heccu,,a1
"a lot (quantifier, much/many)",adverb,ತುಂಬಾ / ಬಹಳ,tuṁbā / bahaḷa,,a1
about (approximately),preposition,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a1
about (concerning a topic),preposition,ಬಗ್ಗೆ / ಕುರಿತು / ವಿಷಯವಾಗಿ,bagge / kuritu / viṣayavāgi,,a1
about (on the verge of doing),preposition,ಮಾಡಲು ಹೊರಟು / ಮಾಡಲು ಸಿದ್ಧವಾಗಿ,māḍalu horaṭu / māḍalu siddhavāgi,,a1
about to (do X),preposition,ಹೊರಟು / ಸಿದ್ಧವಾಗಿ,horaṭu / siddhavāgi,,a1
above,preposition,ಮೇಲೆ / ಮೇಲ್ಭಾಗದಲ್ಲಿ,mēle / mēlbhāgadalli,,a1
accounting,noun,ಲೆಕ್ಕಪತ್ರ / ಅಕೌಂಟಿಂಗ್ / ಲೆಕ್ಕಶಾಸ್ತ್ರ,lekkapatra / akauṁṭiṁg / lekkaśāstra,,a1
across (moving from one side to the other),preposition,ದಾಟಿ,dāṭi,,a1
across (on the opposite side),preposition,ಆಚೆ ಕಡೆ,āce kaḍe,,a1
across (to the opposite side),adverb,ಆಚೆ ಕಡೆಗೆ,āce kaḍege,,a1
action (a specific deed or act),noun,ಕೃತ್ಯ,kr̥tya,,a1
action (general activity or step),noun,ಕಾರ್ಯ / ಚಟುವಟಿಕೆ,kārya / caṭuvaṭike,,a1
activity (general state of action),noun,ಚಟುವಟಿಕೆ,caṭuvaṭike,,a1
activity (task or event),noun,ಚಟುವಟಿಕೆ,caṭuvaṭike,,a1
actress,noun,ನಟಿ,naṭi,,a1
"adult (person, polite reference)",noun,ದೊಡ್ಡವರು / ವಯಸ್ಕರು / ಪ್ರೌಢರು,doḍḍavaru / vayaskaru / prauḍharu,,a1
advice (authoritative guidance),noun,ಮಾರ್ಗದರ್ಶನ / ಸೂಚನೆ,mārgadarśana / sūcane,,a1
"advice (guidance, counsel)",noun,ಸಲಹೆ / ಮಾರ್ಗದರ್ಶನ,salahe / mārgadarśana,,a1
"afraid (apologetic, reluctant)",adjective,ಕ್ಷಮಿಸಿ / ವಿಷಾದಿಸುತ್ತೇನೆ,kṣamisi / viṣādisuttēne,,a1
after (following time or event),preposition,ನಂತರ / ಆಮೇಲೆ / ಮೇಲೆ,naṁtara / āmēle / mēle,,a1
"after (upon completion, sequence)",preposition,ಮೇಲೆ / ನಂತರ,mēle / naṁtara,,a1
afternoon,noun,ಮಧ್ಯಾಹ್ನ / ಅಪರಾಹ್ನ,madhyāhna / aparāhna,,a1
again (one more time),adverb,ಮತ್ತೆ / ಪುನಃ / ಮರಳಿ,matte / punaḥ / maraḷi,,a1
ago,adverb,ಹಿಂದೆ / ಹಿಂದೆಂದೋ,hiṁde / hiṁdeṁdō,,a1
air (travel),noun,ವಿಮಾನ ಪ್ರಯಾಣ / ವಾಯುಯಾನ,vimāna prayāṇa / vāyuyāna,,a1
airport,noun,ವಿಮಾನ ನಿಲ್ದಾಣ / ಏರ್‌ಪೋರ್ಟ್,vimāna nildāṇa / ērpōrṭ,,a1
all (entire duration or quantity),determiner,ಎಲ್ಲಾ / ಪೂರ್ತಿ / ಸಮಸ್ತ,ellā / pūrti / samasta,,a1
all (entire quantity/duration),determiner,ಇಡೀ / ಪೂರ್ತಿ / ಸಮಸ್ತ,iḍī / pūrti / samasta,,a1
"all (people, everyone)",pronoun,ಎಲ್ಲರೂ / ಸರ್ವರೂ,ellarū / sarvarū,,a1
also,adverb,ಕೂಡ / ಸಹ,kūḍa / saha,,a1
always (at all times),adverb,ಯಾವಾಗಲೂ / ಎಂದಿಗೂ,yāvāgalū / eṁdigū,,a1
"always (continuous state, stylistic)",adverb,ಸದಾ / ನಿರಂತರವಾಗಿ,sadā / niraṁtaravāgi,,a1
"amazing (spectacular, awe-inspiring)",adjective,ವಿಸ್ಮಯಕಾರಿ / ಅದ್ಭುತ / ಅಪೂರ್ವ,vismayakāri / adbhuta / apūrva,,a1
"amazing (wonderful, great)",adjective,ಅದ್ಭುತ / ಅದ್ಭುತವಾದ,adbhuta / adbhutavāda,,a1
and (general linking),conjunction,ಮತ್ತು,mattu,,a1
