english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,ഇല്ല,illa,,a1
"(It) is not (identity, copula negation)",auxiliary verb,അല്ല,alla,,a1
a (meaning one),indefinite article,ഒരു,oru,,a1
a few,determiner,കുറച്ച് / അല്പം,kuṟacc / alpaṁ,,a1
a few (some),adjective,ചില / കുറച്ച്,cila / kuṟacc,,a1
a lot (a large amount/quantity),determiner,ഒരുപാട് / ധാരാളം / ഏറെ,orupāṭ / dhārāḷaṁ / ēṟe,,a1
"a lot (adverbial degree, very much)",adverb,ഒരുപാട് / വളരെ / ഏറെ,orupāṭ / vaḷare / ēṟe,,a1
"a lot (quantifier, much/many)",adverb,ധാരാളം / ഒരുപാട് / ഏറെ,dhārāḷaṁ / orupāṭ / ēṟe,,a1
about (approximately),preposition,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ,,a1
about (concerning a topic),preposition,കുറിച്ച് / സംബന്ധിച്ച്,kuṟicc / saṁbandhicc,,a1
about (on the verge of doing),preposition,ആകാൻ പോകുന്നു / തുടങ്ങാറായി,ākān pōkunnu / tuṭaṅṅāṟāyi,,a1
about to (do X),preposition,ചെയ്യാൻ പോകുന്നു / തുടങ്ങാറായി,ceyyān pōkunnu / tuṭaṅṅāṟāyi,,a1
above,preposition,മുകളിൽ / മീതെ,mukaḷil / mīte,,a1
accounting,noun,കണക്കെഴുത്ത് / അക്കൗണ്ടിംഗ്,kaṇakkeḻutt / akkauṇṭiṁg,,a1
across (moving from one side to the other),preposition,കുറുകെ / അപ്പുറം,kuṟuke / appuṟaṁ,,a1
across (on the opposite side),preposition,അപ്പുറത്ത് / മറുഭാഗത്ത്,appuṟatt / maṟubhāgatt,,a1
across (to the opposite side),adverb,അപ്പുറത്തേക്ക് / മറുകരയിലേക്ക്,appuṟattēkk / maṟukarayilēkk,,a1
action (a specific deed or act),noun,പ്രവൃത്തി / കർമ്മം / നടപടി,pravr̥tti / karmmaṁ / naṭapaṭi,,a1
action (general activity or step),noun,പ്രവർത്തനം / നടപടി,pravarttanaṁ / naṭapaṭi,,a1
activity (general state of action),noun,പ്രവർത്തനം,pravarttanaṁ,,a1
activity (task or event),noun,പരിപാടി / പ്രവർത്തനം,paripāṭi / pravarttanaṁ,,a1
actress,noun,നടി / അഭിനേത്രി,naṭi / abhinētri,,a1
"adult (person, polite reference)",noun,മുതിർന്നയാൾ / പ്രായപൂർത്തിയായയാൾ,mutirnnayāḷ / prāyapūrttiyāyayāḷ,,a1
advice (authoritative guidance),noun,നിർദ്ദേശം / ഉപദേശം,nirddēśaṁ / upadēśaṁ,,a1
"advice (guidance, counsel)",noun,ഉപദേശം / നിർദ്ദേശം / അഭിപ്രായം,upadēśaṁ / nirddēśaṁ / abhiprāyaṁ,,a1
"afraid (apologetic, reluctant)",adjective,മടിയുള്ള / വൈമനസ്യമുള്ള,maṭiyuḷḷa / vaimanasyamuḷḷa,,a1
after (following time or event),preposition,ശേഷം / കഴിഞ്ഞിട്ട്,śēṣaṁ / kaḻiññiṭṭ,,a1
"after (upon completion, sequence)",preposition,ശേഷം / കഴിഞ്ഞാൽ / പുറകെ,śēṣaṁ / kaḻiññāl / puṟake,,a1
afternoon,noun,ഉച്ചതിരിഞ്ഞ് / അപരാഹ്നം,uccatiriññ / aparāhnaṁ,,a1
again (one more time),adverb,വീണ്ടും / ഒരിക്കൽ കൂടി / പിന്നെയും,vīṇṭuṁ / orikkal kūṭi / pinneyuṁ,,a1
ago,adverb,മുൻപ് / മുമ്പ്,munp / mump,,a1
air (travel),noun,വിമാനം / വ്യോമയാനം,vimānaṁ / vyōmayānaṁ,,a1
airport,noun,വിമാനത്താവളം / എയർപോർട്ട്,vimānattāvaḷaṁ / eyarpōrṭṭ,,a1
all (entire duration or quantity),determiner,എല്ലാ / മുഴുവൻ / സകല,ellā / muḻuvan / sakala,,a1
all (entire quantity/duration),determiner,എല്ലാ / മുഴുവൻ / സകല,ellā / muḻuvan / sakala,,a1
"all (people, everyone)",pronoun,എല്ലാവരും / സകലരും,ellāvaruṁ / sakalaruṁ,,a1
also,adverb,കൂടാതെ / അതുപോലെ / പിന്നെ,kūṭāte / atupōle / pinne,,a1
always (at all times),adverb,എപ്പോഴും / സദാ / നിരന്തരം,eppōḻuṁ / sadā / nirantaraṁ,,a1
"always (continuous state, stylistic)",adverb,എപ്പോഴും / സദാ / നിരന്തരം,eppōḻuṁ / sadā / nirantaraṁ,,a1
"amazing (spectacular, awe-inspiring)",adjective,അതിശയകരമായ / വിസ്മയകരമായ / അമ്പരപ്പിക്കുന്ന,atiśayakaramāya / vismayakaramāya / amparappikkunna,,a1
"amazing (wonderful, great)",adjective,ഗംഭീരമായ / മനോഹരമായ / അതിശയകരമായ,gaṁbhīramāya / manōharamāya / atiśayakaramāya,,a1
and (general linking),conjunction,ഉം / കൂടാതെ / ഒപ്പം,uṁ / kūṭāte / oppaṁ,,a1
angrily,adverb,ദേഷ്യത്തോടെ / കോപത്തോടെ / രോഷത്തോടെ,dēṣyattōṭe / kōpattōṭe / rōṣattōṭe,,a1
"angry (common, annoyed)",adjective,ദേഷ്യമുള്ള / കോപിഷ്ഠനായ,dēṣyamuḷḷa / kōpiṣṭhanāya,,a1
another,determiner,മറ്റൊരു / വേറൊരു / ഇനിയൊരു,maṟṟoru / vēṟoru / iniyoru,,a1
another (a different one),pronoun,മറ്റൊന്ന് / വേറൊന്ന്,maṟṟonn / vēṟonn,,a1
another (one more),pronoun,ഒന്നുകൂടി / ഇനിയൊന്ന്,onnukūṭi / iniyonn,,a1
"another (unspecified thing, item)",determiner,മറ്റൊരു / വേറൊരു,maṟṟoru / vēṟoru,,a1
answer,noun,ഉത്തരം / മറുപടി,uttaraṁ / maṟupaṭi,,a1
"any (choice, universal)",determiner,ഏതെങ്കിലും / ഏതൊരു,ēteṅkiluṁ / ētoru,,a1
any (general selection),pronoun,ഏതെങ്കിലും / ഏതൊന്ന്,ēteṅkiluṁ / ētonn,,a1
"any (in questions, negatives)",determiner,ഏതെങ്കിലും / യാതൊരു,ēteṅkiluṁ / yātoru,,a1
any (indefinite quantity),determiner,ഏതാനും / കുറച്ച് / ഏതെങ്കിലും,ētānuṁ / kuṟacc / ēteṅkiluṁ,,a1
"any (item, choice)",pronoun,ഏതെങ്കിലും / ഏതൊന്ന്,ēteṅkiluṁ / ētonn,,a1
"any (some, if)",pronoun,ഏതെങ്കിലും / വല്ലതും,ēteṅkiluṁ / vallatuṁ,,a1
"any (universal choice, usually in context)",determiner,ഏതൊരു / ഏതെങ്കിലും,ētoru / ēteṅkiluṁ,,a1
any (zero quantity),pronoun,ഒന്നും / യാതൊന്നും,onnuṁ / yātonnuṁ,,a1
"any (zero quantity, with negative verb)",pronoun,ഒന്നും / യാതൊന്നും,onnuṁ / yātonnuṁ,,a1
"anyone (any person, affirmative)",pronoun,ആരെങ്കിലും / ഏതൊരാൾ,āreṅkiluṁ / ētorāḷ,,a1
"anyone (in questions, negatives)",pronoun,ആരെങ്കിലും / ആരും,āreṅkiluṁ / āruṁ,,a1
"anything (thing, object, general indefinite)",pronoun,എന്തെങ്കിലും / വല്ലതും,enteṅkiluṁ / vallatuṁ,,a1
anything (whatever the choice),pronoun,എന്തും / എന്തെങ്കിലും,entuṁ / enteṅkiluṁ,,a1
apartment,noun,അപ്പാർട്ട്മെന്റ് / ഫ്ലാറ്റ്,appārṭṭmenṟ / phlāṟṟ,,a1
apple,noun,ആപ്പിൾ,āppiḷ,,a1
april,noun,ഏപ്രിൽ,ēpril,,a1
area (measurement),noun,വിസ്തീർണ്ണം / പ്രദേശം / സ്ഥലം,vistīrṇṇaṁ / pradēśaṁ / sthalaṁ,,a1
around (approximate time or quantity),preposition,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ,,a1
around (approximately),adverb,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ,,a1
"around (movement, periphery)",adverb,ചുറ്റും / ചുറ്റിനും,cuṟṟuṁ / cuṟṟinuṁ,,a1
around (nearby or in the vicinity),preposition,അടുത്ത് / സമീപം / ചുറ്റുവട്ടം,aṭutt / samīpaṁ / cuṟṟuvaṭṭaṁ,,a1
