id,english_word,word_class,kannada_translation,verb_transitivity,level
0,cafe,noun,ಕಾಫಿ ಅಂಗಡಿ / ಕ್ಯಾಫೆ / ಕಾಫಿ ಮನೆ,N/A,a1
1,cake,noun,ಕೇಕ್,N/A,a1
2,to calculate (to estimate or gauge),verb,ಲೆಕ್ಕ ಹಾಕು / ಅಂದಾಜು ಮಾಡು / ಗಣಿಸು,transitive,b2
3,to calculate (mathematical),verb,ಲೆಕ್ಕಾಚಾರ ಮಾಡು / ಲೆಕ್ಕಿಸು / ಲೆಕ್ಕ ಹಾಕು / ಗಣಿಸು,transitive,b1
4,calculation (strategic planning),noun,ಲೆಕ್ಕಾಚಾರ / ಯೋಜನೆ / ತಂತ್ರಗಾರಿಕೆ,N/A,c1
5,calculation (mathematical),noun,ಲೆಕ್ಕಾಚಾರ / ಲೆಕ್ಕ / ಗಣನೆ,N/A,b1
6,call (telephone),noun,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,N/A,a1
7,"call (shout, cry)",noun,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,N/A,a1
8,to call (by telephone),verb,ಫೋನ್ ಮಾಡು / ಕರೆ ಮಾಡು / ದೂರವಾಣಿ ಮಾಡು,transitive,a1
9,to call (to name or summon),verb,ಕರೆ / ಕೂಗು / ಆಹ್ವಾನಿಸು,transitive,a1
10,"calm (of a person, composed)",adjective,ಶಾಂತ / ಸಮಾಧಾನದ / ಸಂಯಮದ / ನಿಮ್ಮಳ,N/A,b1
11,"calm (weather, sea, tranquil)",adjective,ಶಾಂತ / ಪ್ರಶಾಂತ / ನಿಶ್ಶಬ್ದ / ಸ್ಥಿರ,N/A,b1
12,calm,noun,ಶಾಂತಿ / ನೆಮ್ಮದಿ / ಸಮಾಧಾನ / ಪ್ರಶಾಂತತೆ,N/A,b1
