word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
विरासत,"heritage, legacy",virāsat,noun,b1,new,,,hindi
समरसता,"harmony, concord",samarasatā,noun,c1,new,,,hindi
प्रतिबिंबित,reflected,pratibiṁbit,adjective,b2,new,,,hindi
वाला,one who does/is about to,vālā,adjective,a2,new,,,hindi
हिंदी,Hindi (language),hiṁdī,noun,a1,new,,,hindi
भाषा,language,bhāṣā,noun,a1,new,,,hindi
अभिव्यक्ति,expression (act of expressing),abhivyakti,noun,b1,new,,,hindi
सशक्त,"powerful, strong",saśakt,adjective,b1,new,,,hindi
माध्यम,"medium, means, channel",mādhyam,noun,b1,new,,,hindi
अपितु,"but rather, moreover",apitu,conjunction,b2,new,,,hindi
विविधतापूर्ण,diverse,vividhatāpūrṇ,adjective,b2,new,,,hindi
अस्मिता,identity,asmitā,noun,b2,new,,,hindi
परिचायक,indicator,paricāyak,noun,b2,new,,,hindi
